item,rank,stars,forks,language,repo_url,repo_size (MiB),blob_objects,avg_blob_size (KiB),description,repo_name,last_commit,cum_sum
C,2,71385,7608,C,https://github.com/Genymobile/scrcpy,35.08,4534.0,7.922071217123401,Display and control your Android device,scrcpy,72ba913324d65cded8672dca7a57415cb82da095,35.08
C,3,60838,5386,C,https://github.com/netdata/netdata,1256.56,32511.0,39.57780365443619,"Real-time performance monitoring, done right! https://www.netdata.cloud",netdata,ebf433e4ab52f989dc75e3ec10041581206ed671,1291.6399999999999
C,4,57107,21837,C,https://github.com/redis/redis,1453.72,22875.0,65.075707778347,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",redis,1cc511d7cb3b451c35bc511797e6e26f2f943c8e,2745.3599999999997
C,6,42153,6300,C,https://github.com/obsproject/obs-studio,783.71,38061.0,21.085089893731443,OBS Studio - Free and open source software for live streaming and screen recording,obs-studio,277dafab98c087c71deb005cbfaf9ea05be2efc8,3529.0699999999997
C,7,40249,2904,C,https://github.com/ventoy/Ventoy,517.23,5877.0,90.12205402814999,A new bootable USB solution.,Ventoy,c87ad1d734f472332fea8e80eb74cda144f9e85b,4046.2999999999997
C,9,33033,2735,C,https://github.com/wg/wrk,46.27,837.0,56.602623067876344,Modern HTTP benchmarking tool,wrk,a211dd5a7050b1f9e8a9870b95513060e72ac4a0,4092.5699999999997
C,11,30807,7873,C,https://github.com/bilibili/ijkplayer,120.94,7629.0,16.233500586782345,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",ijkplayer,30eb9441945da795079492041a791c121d2b8206,4213.509999999999
C,12,26879,5335,C,https://github.com/curl/curl,1986.47,80917.0,25.13866987159682,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET and TFTP. libcurl offers a myriad of powerful features",curl,b82eb72d8097c93313329a4aecd41317a293f506,6199.98
C,13,26404,1810,C,https://github.com/tmux/tmux,647.33,26006.0,25.489103401018035,tmux source code,tmux,9ef854f5a9112a7d50c382dec403432dea2c3579,6847.3099999999995
C,14,24199,1356,C,https://github.com/ggreer/the_silver_searcher,18.58,2712.0,7.014410418395096,"A code-searching tool similar to ack, but faster.",the_silver_searcher,a61f1780b64266587e7bc30f0f5f71c6cca97c0f,6865.889999999999
C,15,23908,2961,C,https://github.com/cfenollosa/os-tutorial,0.49,350.0,1.4336886160714286,How to create an OS from scratch,os-tutorial,7aff64740e1e3fba9a64c30c5cead0f88514eb62,6866.379999999999
C,16,23349,20585,C,https://github.com/pjreddie/darknet,33.79,4419.0,7.829086314069925,Convolutional Neural Networks,darknet,f6afaabcdf85f77e7aff2ec55c020c0e297c77f9,6900.169999999999
C,17,23273,18087,C,https://github.com/coolsnowwolf/lede,1013.54,62024.0,16.73324819953768,Lean's LEDE source,lede,5c42490cf1965c5784ea7cef40eaa4819997b99b,7913.709999999999
C,18,23270,1358,C,https://github.com/stedolan/jq,65.91,3014.0,22.39346590909091,Command-line JSON processor,jq,cff5336ec71b6fee396a95bb0e4bea365e0cd1e8,7979.619999999999
C,20,20574,7164,C,https://github.com/julycoding/The-Art-Of-Programming-By-July,56.87,3838.0,15.172572181149036,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售,The-Art-Of-Programming-By-July,9ef1032edb699dee4b184ec09b48260727676df4,8036.489999999999
C,21,20331,2086,C,https://github.com/pbatard/rufus,797.5,9190.0,88.86182586371055,The Reliable USB Formatting Utility,rufus,76ff620714b8f826d9d1442f6a89bbf56aa3c920,8833.989999999998
C,23,20203,3241,C,https://github.com/libuv/libuv,227.79,13426.0,17.37388349215142,Cross-platform asynchronous I/O,libuv,3e7d2a649275cce3c2d43c67205e627931bda55e,9061.779999999999
C,24,20067,6995,C,https://github.com/nothings/stb,241.93,2944.0,84.14940709653108,stb single-file public domain libraries for C/C++,stb,8b5f1f37b5b75829fc72d38e7b5d4bcbf8a26d55,9303.71
C,25,19997,3385,C,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,9.22,709.0,13.311001410437235,How to Make a Computer Operating System in C++,How-to-Make-a-Computer-Operating-System,eb30f8802fac9f0f1c28d3a96bb3d402bdfc4687,9312.929999999998
C,26,19690,2799,C,https://github.com/robertdavidgraham/masscan,52.89,3046.0,17.78182516517564,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.",masscan,144c527ed55275ee9fbb80bb14fbb5e3fcff3b7e,9365.819999999998
C,29,18635,3326,C,https://github.com/Awesome-HarmonyOS/HarmonyOS,60.81,2540.0,24.51611558809055,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。,HarmonyOS,5d2008e97ea2547dfb3d0b4c9409953e1bf633fc,9426.629999999997
C,30,18463,4111,C,https://github.com/arendst/Tasmota,1751.71,50017.0,35.86281576373408,"Alternative firmware for ESP8266 with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",Tasmota,61113e6918cb50a94a35574b1acf9a15a5ea01ed,11178.339999999997
C,31,18392,1764,C,https://github.com/facebook/zstd,827.75,18148.0,46.705804250984954,Zstandard - Fast real-time compression algorithm,zstd,b63854b2375763ed9f63b89e7a5b1a54bf8c0cf5,12006.089999999997
C,32,17289,5979,C,https://github.com/nginx/nginx,647.25,20802.0,31.86145149805307,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html",nginx,5071bc0bcf18c2eade9d452b27d92bee341dd053,12653.339999999997
C,34,16120,3151,C,https://github.com/gentilkiwi/mimikatz,65.27,2923.0,22.86622530362641,A little tool to play with Windows security,mimikatz,c78b1cf37c517ae9d0e872447bb103da9fa6034a,12718.609999999997
C,35,15670,3092,C,https://github.com/iovisor/bcc,134.69,9398.0,14.676101921618962,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more",bcc,15fccdb9a4dbdc3d41e669a7ad5be73d2ac44b00,12853.299999999997
C,37,15231,1008,C,https://github.com/allinurl/goaccess,128.9,6517.0,20.25410285119687,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,goaccess,187129b4033183c06f88372658554a0860daafba,12982.199999999997
C,38,15214,5786,C,https://github.com/micropython/micropython,600.8,44104.0,13.949246937104627,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,micropython,b8982ec5f90a5aa9d802e9d54912dc4e7ba0916a,13582.999999999996
