item,rank,stars,forks,language,repo_url,repo_size (MiB),blob_objects,avg_blob_size (KiB),description,repo_name,last_commit,cum_sum
Python,1,211800,24203,Python,https://github.com/public-apis/public-apis,352.89,4196.0,86.12049212605756,A collective list of free APIs,public-apis,055f7b0580490a89e8f7e6e61690e5c52f0e8181,352.89
Python,2,199371,35892,Python,https://github.com/donnemartin/system-design-primer,38.58,497.0,79.48573275591046,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,system-design-primer,7e8f93e57db6c016906121b9a868d1d767dd5edb,391.46999999999997
Python,3,144179,21976,Python,https://github.com/vinta/awesome-python,88.91,1352.0,67.3376674313517,"A curated list of awesome Python frameworks, libraries, software and resources",awesome-python,933e60743c84ad423b5bde3a907b895612e50ab7,480.38
Python,4,114018,8215,Python,https://github.com/ytdl-org/youtube-dl,727.91,25771.0,28.923125042441114,Command-line program to download videos from YouTube.com and other video sites,youtube-dl,d35557a75d943865e40410d51bfcc18276e98532,1208.29
Python,5,73950,3263,Python,https://github.com/nvbn/thefuck,13.06,3363.0,3.9778486121952126,Magnificent app which corrects your previous console command.,thefuck,ceeaeab94b5df5a4fe9d94d61e4f6b0bbea96378,1221.35
Python,6,56353,19185,Python,https://github.com/keras-team/keras,561.32,23077.0,24.907537977477574,Deep Learning for humans,keras,d0bbe7fe9382a45a3b79a4e40578016f5f75299d,1782.67
Python,7,56256,13575,Python,https://github.com/josephmisiti/awesome-machine-learning,115.5,1277.0,92.62028848742169,"A curated list of awesome Machine Learning frameworks, libraries and software.",awesome-machine-learning,c6dbfde8d064278ce2806af9b1864906ac7584ca,1898.17
Python,8,54915,22523,Python,https://github.com/ansible/ansible,2064.81,134043.0,15.773766102575292,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",ansible,a48c4422759605a95e74d0a7e8456ad35f72caa8,3962.98
Python,9,51621,23504,Python,https://github.com/scikit-learn/scikit-learn,2225.89,65037.0,35.04640696713986,scikit-learn: machine learning in Python,scikit-learn,0ee0189f98a80a9229f6b6801e1cf1c6ab4e11b1,6188.87
Python,10,50353,4031,Python,https://github.com/tiangolo/fastapi,171.47,7361.0,23.85376331446984,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",fastapi,c6aa28bea2f751a91078bd8d845133ff83f352bf,6360.34
Python,12,47383,5069,Python,https://github.com/3b1b/manim,354.52,10853.0,33.44941400851147,Animation engine for explanatory math videos,manim,fb50e4eb55e05c91c01e55fa1713b3ad69fa42e3,6714.860000000001
Python,13,46010,12524,Python,https://github.com/ageitgey/face_recognition,131.58,406.0,331.8732200584975,The world's simplest facial recognition api for Python and the command line,face_recognition,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,6846.4400000000005
Python,14,44784,9742,Python,https://github.com/scrapy/scrapy,167.64,18002.0,9.536046504815436,"Scrapy, a fast high-level web crawling & scraping framework for Python.",scrapy,f36d054a80dc508b1a83acd01e44bd1fe3de5870,7014.080000000001
Python,15,43904,3263,Python,https://github.com/localstack/localstack,290.3,12055.0,24.65896420377955,💻  A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,localstack,472f457c79439bfcba33e3f1797fe5b5fe114b1f,7304.380000000001
