swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0000001949abc6917b6b0e05602d3d19c7851c45,fe2b50e476afbe59ecbd649ece568d715c23aca6,1233,fe,Buffer_tell_and_seek.cpp,TEST/Buffer_tell_and_seek.cpp
swh:1:cnt:0000008fe9317ecb3336d3d3c7601702fd7d2e3f,fb0695e594a46c19acaf90818371d0ba08792811,20618,fb,mmo.h,common/mmo.h
swh:1:cnt:000000cd245efd96d77bbcb5a329220bc6b0e8df,952bf1bfc4b1fa1bf4baddbcb787c7b018677c61,1919,95,GuiTransferFile.h,src/GuiTransferFile.h
swh:1:cnt:00000100e8975ae0f3c61b504ccf42ba290ce74b,714a317fefd0f372c499158bd5231dc509653198,2773,71,ctr_drbg.c,library/ctr_drbg.c
swh:1:cnt:0000010dab117cc9a1680e5a64e99cb38f0471e6,d8274f0445c8d917e5d4128caa96729a36fbb67b,7008,d8,ExportImage.cpp,msat/ExportImage.cpp
swh:1:cnt:00000138c8b4ac025d00ab82312a8768b64a58f4,c11b98dd000845083ea2be0f2ff9408fd6ffd770,833,c1,piix.h,src/piix.h
swh:1:cnt:0000014b31833951ea2e8e35708f4c2540ba818e,c116c7646d17ffc10b56c88529b9d6ce0b8686d1,6612,c1,Destination.h,Destination.h
swh:1:cnt:000001b955c33a3e815ace06ee18296b01bb350b,9645124753966a723b71b448155b6dab5ba5d75d,2476,96,SetGridTransform.cpp,SetGridTransform/SetGridTransform.cpp
swh:1:cnt:000001bf34d42a829e20f1cf42c851f53746ad94,3caf99f6a0f2a18b1e36c1bdc11a3967e0d0b2ce,20012,3c,usb.h,hw/usb.h
swh:1:cnt:0000020decb9321029304a2d62b4013a085b2ad3,26e4fd9bad20eb1c3c48cc69d9e832d00b3b55af,22709,26,btreeblock_test.cc,tests/btreeblock_test.cc
swh:1:cnt:0000021cab578c7d09d3325810f423f7ae871f74,3d11f3f7e11d2caedd43d78519b52e3084f22f18,390952,3d,UnrealEngine.cpp,Private/UnrealEngine.cpp
