swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:00000000195ede05af2fec723f20f85546ba97e9,8b191bf573282e86ad5a2cea5e6a0af9b10e862c,11908,8b,avalara_transaction.rb,spree/avalara_transaction.rb
swh:1:cnt:000000027287f3295a98a5c6a029e59c12ffbe1c,8f64767dcac1a7ac82121efccc05c10882ed3303,82551,8f,264764.json,2017-_Conservative_government/264764.json
swh:1:cnt:0000000aa01a844a2a7b3f9ae02a9595918a2ac0,38596c505e370e977a16a4b34970d9076d1cfafd,1836,38,websockets-0.9.5.0.ebuild,websockets/websockets-0.9.5.0.ebuild
swh:1:cnt:0000000cf0f3021d005008e01b71b5c8312a4432,92b1ab0fe8518166a913523256ffc52338110f53,16342,92,CMakeLists.txt,botcraft/CMakeLists.txt
swh:1:cnt:0000000d15b50a835de56cb0447f1f457a957f80,fe74c83568481baa4fa85990176e817b39f3ddc6,52950,fe,bipartite_graph.py,graphs/bipartite_graph.py
swh:1:cnt:00000013323f9bc97c764cb6aa525b96444dba98,f4f0063f55156171f77954e6493621043533a125,113,f4,Thor.txt,Thor.txt
swh:1:cnt:0000001949abc6917b6b0e05602d3d19c7851c45,fe2b50e476afbe59ecbd649ece568d715c23aca6,1233,fe,Buffer_tell_and_seek.cpp,TEST/Buffer_tell_and_seek.cpp
swh:1:cnt:000000237476d8bd135662ec6b4ad4ba2a6c9497,1d974e6233b1f061ad9f74a03bc59327fe843e53,666,1d,body,"fqnToElement(Project,String)/body"
swh:1:cnt:000000297a681a6aae7b89404eacb444721981c3,e94eed221249f9d012c93050b3fdfae5bfabf0bd,3499,e9,helpers.spec.js,utils/helpers.spec.js
swh:1:cnt:0000002cd1d8782a223be396e0a16ed41ae494d6,2ae94541ced92790d3c19f12777562abc7a4dc12,10652,2a,strategies_controller.rb,controllers/strategies_controller.rb
swh:1:cnt:0000003317146be0f796888dbdcdcf29708089c9,2f1921ad8a7e4cd728d283df75838bc80c3f0039,2497,2f,chronos-dev.json,apps/chronos-dev.json
swh:1:cnt:00000034c67bc78b7b18c5f0ca192a52fbf18a7a,27f22c07839547ed0454f4683fac30e1368251f0,5867,27,node40.html,sun243.htx/node40.html
swh:1:cnt:000000408789272dd7296fde2d299088907d6056,95ff084b9b15085e80ad2f9c4457b1e66dcb43e1,1989,95,tests.py,tests/tests.py
swh:1:cnt:0000004c7a3c6d745d2d24fee64dc5fa10e6b7a0,bc5bf86ae3b0e5315250e4c5c6f15aa59db546ae,6801,bc,AlchemyVisionV1.html,v2.20.1/AlchemyVisionV1.html
swh:1:cnt:0000004d802b6b46fad26636f73edc76b05e10e8,bc31ee66867d3874224af1e9f14464b940f7cdf7,2947,bc,home.nix,fbs-work.local/home.nix
